docID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0,brazil,mon,site,time,country,economy,fiscal,follow,link,banned,rousseff,decision,dont,policy,economic,pmdb,party,grade,investment,government,olympics,zero,times,status,bank,recent,brazils,president,worse,reuters,matter,congress,breakevens,own,commodity,spending,global,share,rates,central,inflation,political,recession,break,china,hedge,taking,worries,concerns,coalition
1,market,stock,fed,debt,policy,financial,relative,rate,fiscal,major,markets,time,metrics,investors,credit,economy,price,currently,equity,government,rates,correction,index,decline,growth,risk,warning,china,gdp,oil,spending,investment,relativity,stocks,monetary,red,change,expect,levels,current,dow,opinion,force,crisis,period,negative,created,deflationary,currency,japan
2,quarter,pace,spending,gdp,upward,estimate,percentage,advanced,profits,advance,initial,revision,growth,annual,thats,quarters,economy,strongest,faster,inventory,overall,businesses,change,corporate,investment,government,spring,contributed,according,inventories,quarterly,increased,increase,rose,domestic,enter,business,adjustments,released,below,grew,nonresidential,reading,earlier,construction,report,level,expanded,product,mild
3,share,psec,million,fiscal,quarter,fourth,company,psecs,investment,reported,companys,net,nav,nii,projections,income,projection,portfolio,projected,appreciation,stated,prospect,quarterly,results,article,report,table,provided,investments,variance,total,unrealized,investors,continued,prior,dividend,actual,recent,harbortouch,believe,modest,account,future,range,material,due,eps,fmv,respectively,alpha
4,global,fed,policy,markets,economic,fiscal,inflation,current,monetary,tightening,chinese,eurozone,budget,economy,groupthink,crisis,week,reserve,growth,parochial,makers,data,jackson,exters,pressure,mit,crunch,prices,rates,sterling,rate,fischer,keynesian,risk,china,hole,boj,japan,shock,credit,bank,european,imf,street,federal,volatility,expectations,inverted,market,lower
5,quarter,million,market,fiscal,business,prior,megapixel,china,markets,sales,compared,product,automotive,margin,call,thank,approximately,products,growth,continue,increase,customers,tax,revenues,sensors,range,expense,category,technologies,income,sensor,inventory,technology,expect,gross,question,compensation,decrease,image,price,terms,design,emerging,stockbased,applications,significant,line,nongaap,gaap,mobile
6,saudi,oil,government,fri,spending,sat,peak,billion,debt,arabia,prices,war,reserves,market,military,site,fx,follow,link,time,banned,foreign,petrodollar,assets,china,russia,gold,world,saudis,low,dont,heres,dollar,rate,united,reason,country,data,deposits,bank,news,economic,am,gdp,value,russians,bonds,ruble,pressure,money
7,news,government,primary,deficit,budget,congress,percent,reuters,public,business,revenue,barbosa,raise,spending,brazil,credit,borrowing,rousseff,lawmakers,earlier,sources,brazilian,expenditures,minutes,bill,reforms,agencies,reporting,delayed,proposed,monday,tax,rousseffs,fears,costs,forecast,real,available,thomson,countrys,rating,downgrade,closely,weaker,information,rose,cut,domestic,finance,day
8,budget,fiscal,gdp,site,government,primary,deficit,follow,mon,proposal,link,banned,brazil,growth,president,sources,surplus,print,tax,financial,rating,brazils,worse,target,political,bloody,according,policy,country,film,freddy,dilma,news,rousseff,economic,krueger,market,monday,percent,grade,investment,measures,woes,share,expected,send,recession,projects,nightmares,asleep
9,frsh,company,fiscal,franchise,frshs,million,premium,multiple,alpha,sss,growth,assetlight,seeking,stock,companys,pro,margin,franchisees,currently,increase,trading,increasingly,article,growing,consensus,basis,fast,thank,franchiser,papa,past,murphys,june,evebit,business,revenue,base,nasdaq,grew,fcf,pe,sp,vs,thesis,discussed,value,shortly,contact,product,decreased
10,fiscal,sbux,premium,million,stock,sp,alpha,seeking,past,multiple,business,company,reaching,pro,margin,strong,consensus,starbucks,basis,growth,following,coffee,metrics,evebit,trading,eps,fcf,pe,forecasting,price,forward,ratio,thank,sbuxs,currently,current,balance,revenue,grew,compensation,value,shortly,article,contact,product,relative,stocks,evsales,service,peg
11,fiscal,vnce,stock,million,sp,alpha,vnces,seeking,past,multiple,business,trading,fcf,reaching,pro,margin,consensus,basis,discount,segment,ceo,cfo,disaster,declining,revenue,value,resigned,wholesale,stocks,forecasting,corp,holding,vince,forward,contract,growth,following,thank,stores,analysts,currently,story,evebit,margins,directtoconsumer,company,eps,grew,fy,pe
12,fiscal,sp,vsis,past,company,million,alpha,vsi,ratio,seeking,stock,multiple,revenue,vitamin,premium,reaching,pro,forward,consensus,contract,basis,headwinds,supplements,evebit,margins,trading,fcf,pe,article,forecasting,manufacturing,peg,retail,margin,negative,shoppe,share,expected,growth,following,thank,discount,segment,currently,metrics,result,business,eps,grew,vs
13,spending,construction,percent,news,july,outlays,reuters,level,private,rose,business,quarter,nonresidential,sector,increased,economy,providing,largest,solid,minutes,surged,delayed,oil,government,projects,thomson,data,public,energy,information,picture,reported,finance,third,worlds,nasdaq,near,excluding,alerts,television,structures,economic,gas,april,massive,upbeat,october,junes,video,dropped
14,construction,spending,economy,growth,months,previous,overall,secondquarter,rate,economics,revised,third,quarter,bank,below,improving,news,suggesting,decades,worst,level,sector,economyand,manufacturing,tuesday,positive,appears,building,investment,seven,send,time,real,annual,adjusted,traffic,postrecession,pace,seasonally,data,ground,broadly,rose,comments,domestic,actual,enter,secondlargest,editors,heavily
15,spending,percent,construction,news,july,economy,level,sector,fell,data,business,reading,factory,reuters,month,manufacturing,index,dollar,government,private,activity,june,increased,energy,rose,trading,lowest,ford,production,largest,report,solid,minutes,employment,delayed,global,suggested,strength,prices,currencies,august,cuts,assembly,outlays,projects,thomson,public,deep,rock,flat
16,sales,fiscal,million,market,quarter,business,growth,firstfit,markets,europe,guidance,aftermarket,jim,decline,company,tod,look,share,expect,thats,continue,fx,little,billion,fourth,engine,replacement,seeing,maybe,call,increase,operating,margin,restructuring,bit,am,customers,currency,local,versus,industrial,programs,results,opportunities,range,half,terms,basis,based,impact
17,million,fiscal,quarter,company,lifevantage,distributors,revenue,compared,sales,growth,fourth,stock,call,product,direct,selling,business,plan,results,industry,financial,time,approximately,distributor,past,third,products,darren,experience,prior,look,marketing,cost,period,global,price,share,help,expect,thank,enrollment,shares,program,field,diluted,range,companies,rate,mark,mexico
18,spending,healthcare,percent,age,mean,cost,alpha,personal,seeking,dividends,household,stocks,pro,health,dollar,consumption,investors,gdp,sector,product,averaging,recession,thank,shares,rise,stock,average,demographics,play,grow,expenditure,shortly,article,contact,reinvest,biggest,investor,month,money,households,market,americans,period,prices,projected,forward,look,share,head,sell
19,million,revenue,license,fiscal,quarter,customers,tier,data,term,thats,services,customer,business,nongaap,call,fourth,insurancesuite,total,expect,rd,products,anticipate,insurer,percentage,insurers,continue,actually,look,marcus,growth,guidewire,operating,range,sales,basis,time,maintenance,ago,increase,market,margin,typically,share,approximately,five,am,income,policycenter,management,gross
20,advertising,percent,news,spending,growth,media,digital,thai,economy,reuters,market,forecast,online,business,ad,video,world,consumers,thakol,overall,minutes,delayed,target,advertisers,thailands,social,thomson,daat,stock,information,budget,finance,secondlargest,virtual,networking,baht,worlds,nasdaq,facebook,investors,alerts,television,shines,thailand,plan,economic,looks,kk,increasingly,linkreuterscomranw
21,fiscal,mmm,company,billion,past,balance,trading,sp,premium,alpha,margin,sheet,seeking,multiple,due,fcf,reaching,pro,strong,consensus,basis,growth,evebit,revenue,eps,ma,pe,steady,customers,low,forecasting,mmms,forward,share,ratio,dividend,following,thank,discount,stock,currently,metrics,current,day,average,business,concerns,grew,products,value
22,flws,fiscal,discount,past,stock,trading,revenue,sp,alpha,margin,flwss,growth,seeking,multiple,company,fcf,million,relative,reaching,market,service,pro,reviews,strong,consensus,basis,metrics,evebit,concerns,balance,due,eps,ftd,pe,significant,forecasting,flowerscom,forward,share,sheet,customer,following,thank,upside,information,nasdaq,investors,grew,grow,value
23,news,rousseff,fiscal,brazils,reuters,levy,budget,finance,business,temporary,minutes,congress,delayed,weakened,primary,thomson,deficit,information,worlds,nasdaq,minister,alerts,television,dilma,plan,video,president,international,boadle,isolated,providing,largest,views,world,brazilian,technology,platforms,interactive,caroline,met,paraguassu,proposals,joaquim,market,handbook,reporting,speaking,headline,list,monday
24,spending,construction,level,july,pro,alpha,private,seeking,peak,rose,singlefamily,remained,below,nonresidential,residential,seen,thank,june,increased,reached,shortly,contact,monthtomonth,product,forward,look,total,individual,contacting,information,released,investors,charts,submit,am,et,else,october,yesterday,reply,itb,plotted,yearoveryear,investor,fund,month,received,bureau,professional,details
25,business,growth,quarter,fiscal,ebitda,million,revenue,segment,fourth,adjusted,development,customers,product,performance,technologies,slide,constant,financial,okay,mix,longterm,impact,weve,services,expect,currency,continue,softgel,oral,clinical,terms,call,results,products,micron,delivery,range,acquisition,company,margin,basis,thats,maybe,increase,catalent,fx,provide,net,prior,guidance
26,economy,consumer,china,spending,gdp,growth,consumption,chinese,services,entrepreneurs,able,percent,percentage,transition,chinas,consumers,alpha,government,time,means,seeking,past,country,credit,meet,successfully,manufacturing,pro,investment,doesnt,look,according,demand,thats,internet,people,investors,economic,grow,products,level,access,lead,product,improve,provide,research,happen,move,obvious
27,consumers,inflation,taxes,spending,wages,prices,tax,local,spend,gas,commodities,means,alpha,time,consumer,seeking,continue,impact,wage,governments,income,dont,money,oil,pro,major,price,real,thats,rise,cut,economic,power,havent,pressure,percent,theyll,growth,thank,hasnt,buying,isnt,paying,economy,investors,pension,understand,disposable,doubled,household
28,infrastructure,spending,investment,pro,alpha,bridges,time,seeking,crumbling,economy,america,billion,thank,economies,dams,average,sitting,create,decades,shortly,mature,contact,product,manufacturing,cost,benefits,little,forward,look,financial,costs,according,bigger,individual,roads,wasted,countrys,contacting,costing,information,quantitative,reckons,dam,day,third,grumble,dearly,bank,labor,opinion
29,policy,fed,market,rates,growth,monetary,falling,markets,china,prices,question,expectations,commodity,yuan,real,capital,isnt,economy,mean,believes,pro,chinese,alpha,nominal,bond,rate,inflation,recession,hike,seeking,information,investors,create,saying,raise,lot,look,reserve,sell,contingent,thank,fear,pboc,emerging,bad,conditions,im,recent,fairly,shortly
30,company,matrix,fiscal,project,service,growth,eps,epc,revenue,million,construction,doubledigit,acquisition,quarter,alpha,share,billion,seeking,track,expectations,engineering,procurement,pro,price,midpoint,calpine,acquisitions,joint,earnings,fourth,confidence,venture,multiple,challenges,companys,pieces,providing,product,services,time,thank,complete,return,energy,reported,impact,fullyear,average,business,st
31,million,fiscal,quarter,revenues,ebitda,business,fourth,north,adjusted,oil,leasing,pricing,call,rate,time,approximately,gas,compared,customers,yes,operations,results,america,prior,american,star,lone,increase,net,thats,primarily,construction,australian,sector,believe,core,dollar,financial,acquisitions,asiapacific,levels,finance,company,product,bottom,decline,prices,basis,demand,total
